title,price,rating,totalReviewCount
Vanilla Two Tier Naked Cake (Serves 36), 50,4.82,1328
Rainbow Layers Cake (Serves 12), 35,4.5033,2410
Personalised Extremely Chocolatey Party Cake (Serves 25), 30,4.8626,2067
Brownie & Blondie Mini Selection Letterbox Gift, 20,4.6383,282
Vanilla Naked Cake (Serves 24), 35,4.7127,804
Personalised Giant Colin the Caterpillar™ Cake (Serves 40), 50,4.7623,770
Flower Festival Tulip Cake (Serves 24), 45,4.7732,2416
Personalised Celebration Sponge Cake with Gold Ribbon (Serves 30), 45,4.5251,1276
Personalised Extra Large Rainbow Layers Cake (Serves 32), 60,4.7887,1131
Chocolate Naked Cake (Serves 24), 35,4.6818,308
Extra Large Cookies & Cream Cake (Serves 32), 50,4.6997,1212
Milk Dark & White Chocolate Layers Cake (Serves 12), 35,4.4659,835
Chocolate Two Tier Naked Cake (Serves 36), 50,4.6993,439
Colin the Caterpillar Chocolate Brownies Letterbox Gift, 20,4.598,204
Cookies & Cream Cake (Serves 16), 40,4.3886,458
Personalised Connie the Giant Caterpillar™ Cake (Serves 40), 50,4.724,279
Red Velvet Cake (Serves 16), 35,4.7937,412
Chocolate Mini Bite Cake (Serves 16), 40,4.7765,443
Luscious Lemon Cake - Serves 16, 40,4.759,610
Personalised Piped Rose Sponge Cake (Serves 24), 45,4.7549,1175
Personalised Celebration Sponge Cake with Silver Ribbon (Serves 30), 45,4.4014,710
True Love Cake (Serves 14), 30,4.5915,519
Carrot Cake (Serves 16), 40,4.7254,386
3 Indulgent Chocolate & 3 Triple Chocolate Brownies Letterbox Gift, 20,4.7045,291
Personalised Extra Large Red Velvet Cake (Serves 24), 60,4.7873,221
6 Confetti Indulgent Chocolate Brownies Letterbox Gift, 20,4.7326,374
White Chocolate & Raspberry Topped & 3 Indulgent Chocolate Brownies, 20,4.6006,333
Millionaire's Shortbread & 3 Salted Caramel Chocolate Tiffin Letterbox Gift, 20,4.6438,160
Personalised Gardening Cake (Serves 20), 65,4.766,94
3 Indulgent Chocolate & 3 Salted Caramel Brownies Letterbox Gift, 20,4.4659,88
3 Indulgent Chocolate Brownies & 3 Brookies Letterbox Gift, 20,4.6506,83
Chocolate & Caramel Cake (Serves 16), 40,4.551,147
3 Indulgent Chocolate Brownies & 3 Blondies Letterbox Gift, 20,4.5773,194
Personalised Under the Sea Mermaid Cake (Serves 20), 65,4.5368,95
Personalised Football Cake (Serves 36), 65,4.3014,73
Personalised Extra Large Mini Bite Cake (Serves 24), 65,4.6233,146
Find the Fossil Cake (Serves 28), 65,4.8148,54
Baby Shower Cake - Boy (Serves 16), 35,4.9097,144
Personalised Extra Large Chocolate & Caramel Cake (Serves 24), 60,4.9053,95
6 Indulgent Chocolate Brownies Letterbox Gift, 20,4.6993,276
Baby Shower Cake - Girl (Serves 16), 35,4.8261,92
Personalised Gender Reveal Cake - Boy (Serves 16), 45,5.0,3
Personalised Gender Reveal Cake - Girl (Serves 16), 45,4.0,2
6 Plant Kitchen Chocolate Brownies, 20,4.6,45
Personalised Safari Cake (Serves 20), 85,4.1875,16
